Verb,Tense,Portuguese,English
Ser,Present,Eu sou,I am
Ser,Present,Tu és,You are (informal)
Ser,Present,Ele/Ela/Você é,He/She/You are
Ser,Present,Nós somos,We are
Ser,Present,Eles/Elas/Vocês são,They are / You (plural) are
Estar,Present,Eu estou,I am
Estar,Present,Tu estás,You are (informal)
Estar,Present,Ele/Ela/Você está,He/She/You are
Estar,Present,Nós estamos,We are
Estar,Present,Eles/Elas/Vocês estão,They are / You (plural) are
Ter,Present,Eu tenho,I have
Ter,Present,Tu tens,You have (informal)
Ter,Present,Ele/Ela/Você tem,He/She/You have
Ter,Present,Nós temos,We have
Ter,Present,Eles/Elas/Vocês têm,They have / You (plural) have

