Verb,Tense,Portuguese,English
Ser,Past,Eu fui,I was
Ser,Past,Tu foste,You were (informal)
Ser,Past,Ele/Ela/Você foi,He/She/You were
Ser,Past,Nós fomos,We were
Ser,Past,Eles/Elas/Vocês foram,They were / You (plural) were
Estar,Past,Eu estive,I was
Estar,Past,Tu estiveste,You were (informal)
Estar,Past,Ele/Ela/Você esteve,He/She/You were
Estar,Past,Nós estivemos,We were
Estar,Past,Eles/Elas/Vocês estiveram,They were / You (plural) were
Ter,Past,Eu tive,I had
Ter,Past,Tu tiveste,You had (informal)
Ter,Past,Ele/Ela/Você teve,He/She/You had
Ter,Past,Nós tivemos,We had
Ter,Past,Eles/Elas/Vocês tiveram,They had / You (plural) had
Fazer,Past,Eu fiz,I did / I made
Fazer,Past,Tu fizeste,You did / You made (informal)
Fazer,Past,Ele/Ela/Você fez,He/She/You did / made
Fazer,Past,Nós fizemos,We did / We made
Fazer,Past,Eles/Elas/Vocês fizeram,They / You (plural) did / made
Ir,Past,Eu fui,I went
Ir,Past,Tu foste,You went (informal)
Ir,Past,Ele/Ela/Você foi,He/She/You went
Ir,Past,Nós fomos,We went
Ir,Past,Eles/Elas/Vocês foram,They / You (plural) went
Poder,Past,Eu pude,I could
Poder,Past,Tu pudeste,You could (informal)
Poder,Past,Ele/Ela/Você pôde,He/She/You could
Poder,Past,Nós pudemos,We could
Poder,Past,Eles/Elas/Vocês puderam,They / You (plural) could

